	V_cra Queen.x	V_cra Worker.x	V_vul Queen.x	V_vul Worker.x	A_caj Queen.x	A_caj Worker.x	P_can Queen.x	P_can Worker.x	A_pal Queen.x	A_pal Worker.x	M_cin Queen.x	M_cin Worker.x	M_bas Queen.x	M_bas Worker.x	P_qua Queen.x	P_qua Worker.x	B_mel Queen.x	B_mel Worker.x
OG0000456	37.91783389	48.57854682	38.15721958	48.99982632	126.7228223	70.96881898	28.10329599	39.67870272	40.13191259	35.86285324	98.7717275	112.288209	58.87742777	68.12372162	94.05280338	88.21737641	59.51703065	122.2100636
OG0000458	2820.392865	3229.938088	545.9390155	898.1916898	144.9625641	117.1317475	914.1364916	982.0473156	943.695979	1012.31142	476.1275147	1287.937156	453.9683378	443.4488146	686.3943385	844.3244555	215.7453205	169.2553603
OG0000465	162.8452604	264.0641304	382.3359059	965.5213876	416.4085153	391.1723456	136.1676149	135.5742837	158.0023126	136.8297087	59.13294402	84.7720083	286.9818328	130.4279986	133.5981823	117.0099185	234.9356473	82.26047233
OG0000466	281.0692072	196.7759853	177.4070283	168.2098373	380.7066033	392.1454237	90.87222919	77.22409844	275.5680073	75.12944665	250.3272729	931.5006058	452.0103721	289.0017666	62.81887959	68.15634666	185.2036864	785.8449446
OG0000471	2084.579482	1773.69862	1796.922187	1468.475394	1290.951266	1313.77206	1785.747982	1646.163835	1113.720029	1455.495514	1055.413545	1093.112739	1035.061796	502.7523524	643.4258033	589.1832402	805.8292703	763.1286264
OG0000473	351.6978639	556.8632539	40.61806324	74.07644042	84.24560727	120.185287	54.55731839	63.58339093	215.5217479	255.401671	97.23865117	196.0712105	95.46481435	135.6168939	121.9451878	153.9610021	164.4549531	68.94788726
OG0000484	322.7996817	319.9977035	174.4653301	228.8965	76.01235758	0	598.7420919	544.428135	335.3244252	355.3976447	219.8869474	237.4607718	266.0078243	361.0795578	260.1432364	301.69082	366.4996098	308.6276807
OG0000487	740.7491042	1403.617993	680.6767118	1905.456678	1100.036122	1244.873566	533.997806	809.2033108	850.4992734	1082.670461	492.3365117	941.4154606	515.7827141	1160.70053	587.7939671	770.3578418	778.4201114	480.8213378
OG0000488	260.0588446	338.0298652	257.0529407	424.444486	1117.256486	1082.397391	446.5549847	535.7766783	540.1473024	659.0994711	274.6396734	406.9973522	465.056018	599.9169983	218.749987	240.8743411	220.0524741	160.700863
OG0000491	209.0520142	169.6925361	10.97507989	50.12524367	81.23725891	68.18642366	135.7947693	185.8785739	843.6649573	867.1702531	275.515717	397.0924123	314.9527716	322.7793172	264.8191727	309.0407575	328.8668347	234.8240584
OG0000492	372.7432316	494.7399791	70.23247818	220.1985219	63.72767579	72.85415788	204.9994735	278.0958008	422.5756622	567.9884385	452.2553262	686.8490856	350.0562999	655.5085524	365.5186046	412.055686	751.0109526	489.7427523
OG0000505	2033.495349	1644.625918	1241.603962	2042.627823	2435.135908	2508.815917	978.4774691	1130.151534	1221.347873	1224.504815	387.6514898	575.3094481	1054.781308	636.366877	616.8020469	699.1463217	1129.151624	1025.243632
OG0000506	61.14956286	62.56711263	124.0330264	113.8583798	134.0030728	141.6614257	134.1223269	130.3975972	86.35644405	88.36639347	194.4816826	216.3917054	114.9605587	83.13304713	78.13195712	91.83645788	75.56705096	273.1166042
OG0000509	997.5247605	1245.727204	198.3202395	232.0708244	181.5250201	177.7869517	55.16657138	67.17177594	393.1441066	351.6853548	259.7556923	252.4916916	645.7105223	580.4431585	169.6538436	173.9062293	634.3301633	803.1433159
OG0000520	671.2522796	691.3841479	706.0358472	637.2729234	7073.423528	5078.302242	470.9268207	626.6697438	1624.010675	1440.81436	2386.99765	2102.940697	616.3396379	933.6277135	675.1216947	651.9180135	3447.073707	2982.977775
OG0000522	2537.42463	2699.224556	863.5295589	793.4708099	2669.803675	2196.779658	326.465213	383.1763094	972.2342279	981.0622746	1045.779256	1555.395321	1784.993435	1463.959092	1927.387537	2211.406801	122.5502648	0
OG0000525	88.91153733	94.94291037	47.23688413	75.8600431	84.42103499	110.3354048	83.66459466	89.73730793	151.3121741	154.2748867	221.8602356	265.4702365	194.4287932	283.6214545	91.3626146	111.5732405	319.5124803	225.7724474
OG0000529	1350.79202	1518.356069	405.2757774	739.3950824	1174.554973	1177.290249	789.2833912	945.4835064	749.2776717	808.2081684	1470.375695	1070.271392	1056.044195	1039.657582	523.5297548	610.9601616	696.9718381	1641.948618
OG0000540	127.7540897	177.3659242	150.9320276	225.4675711	201.0283156	95.95462756	167.543715	198.2775918	118.3148238	125.8430751	70.95953283	102.6162682	102.5134909	148.0664895	207.5280566	255.3697995	80.66123891	119.5469548
OG0000544	51.00683036	63.35834527	55.60856114	91.03314915	77.29013518	85.98311064	71.73739469	70.93779234	50.24069546	53.47119109	33.50866828	40.65090456	61.95562959	54.42241059	34.54931404	37.86340628	79.48656067	15.09094996
OG0000547	55.92067359	82.81345759	355.1254806	881.1013686	385.134968	449.8965979	282.6157305	254.047508	345.283085	494.4873593	150.24148	262.9940015	111.7439008	108.2837074	362.5225504	413.6668519	269.38896	154.4573523
OG0000556	184.3004798	61.37308886	468.0694363	287.4563379	325.9020349	540.207879	719.8572964	551.119879	52.91466993	109.0424592	889.8456823	174.5039227	526.4116709	210.7460934	277.1813628	431.8921595	235.3272067	1043.050953
OG0000560	87.03292941	275.4907844	192.6806647	235.4547584	863.7918766	804.4366059	81.82053173	121.2276644	109.7860492	139.9992095	387.4302888	604.062527	329.4976598	658.696955	178.6245732	220.1708589	1271.781055	427.5650795
OG0000561	75.51624609	120.8657071	76.59672904	112.0728567	108.6324312	117.2331098	304.1047701	228.1882976	302.3270748	330.0367919	211.7725934	143.7678729	116.5003589	89.14578519	106.5766425	114.7975863	337.5242133	177.5376288
OG0000563	62.04656897	158.2972511	64.51992661	46.06501662	1327.35726	1143.640497	103.8300106	166.2139703	144.4763717	230.520605	876.0392349	1256.955714	337.5882539	418.7579299	13.46916906	45.06129006	2868.560338	2019.95916
